Index,Seed,Level,Model,Command,DurationSeconds
20,3,partial-divider_salad,bd,"python main.py --num-agents 2 --seed 3 --level partial-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",413.7
40,5,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 5 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",99.3
15,2,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 2 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",508.4
16,2,full-divider_tl,bd,"python main.py --num-agents 2 --seed 2 --level full-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",512.1
3,1,open-divider_salad,bd,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",564.3
9,1,open-divider_tl,bd,"python main.py --num-agents 2 --seed 1 --level open-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",534.4
8,1,partial-divider_tl,bd,"python main.py --num-agents 2 --seed 1 --level partial-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",534.7
31,4,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 4 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",306.1
32,4,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 4 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",393.6
21,3,open-divider_salad,bd,"python main.py --num-agents 2 --seed 3 --level open-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",612.7
